x,出现次数
，,412
：,395
的,302
  ,228
 ,147
。,119
内容,110
性别,99
日期,94
2015,76
是,69
女,64
年04月,63
年龄,60
拍,59
有,54
、,53
要,42
男,40
不,36
29日,35
在,35
喜欢,31
一,29
就,28
也,27
想,26
很,26
自己,26
好,25
最,24
可以,23
婚纱照,23
对,22
了,22
婚纱,22
我,20
职业,20
形式,19
和,18
27日,18
都,18
26,18
拍摄,18
自然,17
觉得,17
28日,17
采访,16
那种,16
中,16
海边,16
风格,16
能,16
人,15
一些,15
感觉,15
上,14
25,14
一定,14
一个,13
对于,13
去,13
着,12
看,12
一点,12
美,12
/4,12
）,11
   ,11
接受,11
/29,11
（,11
希望,11
与,11
出,11
太,10
照片,10
2015-04-27,10
微信,10
年04,10
旅行,10
月2,10
瞬间,10
7日,10
地方,10
结婚,9
特色,9
或者,9
27,9
应该,9
旅拍,9
里,9
不要,9
浪漫,9
多,9
套,9
选择,9
设计,8
她,8
期 2015,8
摄影,8
 日,8
然后,8
过,8
会,8
到,8
场景,8
  性,8
幸福,7
过程,7
没有,7
4月,7
@,7
2015年,7
把,7
别 ,7
真实,7
唯美,7
摆,7
服装,7
小,7
爱情,6
美丽,6
次,6
##,6
比较,6
吧,6
带,6
最好,6
穿,6
时间,6
啊,6
这,6
价格,6
什么,6
没,6
抓拍,6
主题,6
两,6
边,6
欧式,6
城市,6
能够,6
话,6
但是,6
未知,6
环境,6
行,6
大海,6
访谈,6
纪念,5
！,5
人物,5
大自然,5
以后,5
风景,5
可能,5
外景,5
还,5
认为,5
旅游,5
QQ,5
下,5
考虑,5
张,5
几,5
草原,5
..,5
特别,5
古典,5
需求,4
以内,4
动漫,4
概念,4
明确,4
要求,4
拍照,4
教堂,4
等,4
24,4
美好,4
让,4
并,4
气息,4
种,4
高,4
大,4
时,4
而,4
摄影师,4
理想,4
文艺,4
留住,4
像,4
中式,4
个,4
海底,4
学生,4
沙滩,4
新娘,4
坐,4
沙漠,4
比如说,4
要么,4
古代,4
才,4
各种,4
大家,4
街景,4
海景,4
还有,4
但,4
生活,4
条,4
讨论,4
来,4
非常,3
宏大,3
30,3
只是,3
别,3
欧洲,3
意义,3
事情,3
照,3
时候,3
文化,3
森林,3
纱照,3
拍婚,3
视频,3
程序员,3
还是,3
奢华,3
价位,3
年,3
游艇,3
复古,3
画面,3
韩国,3
好看,3
室内,3
期待,3
调查,3
组,3
新郎,3
23,3
轻松,3
与众不同,3
女生,3
服饰,3
感受,3
后,3
 女,3
风情,3
不错,3
花海,3
追求,3
女 ,3
随意,3
为了,3
左右,3
别  ,3
起来,3
别人,3
玩儿,3
阳光,3
意境,3
无所谓,3
贴近,3
关键,3
水,3
简约,3
故事,3
以,3
这样,3
农村,3
直接,3
地点,3
我们,3
汇总,3
流程,3
背景,3
根深,3
风景区,3
用户,3
记录,3
we,3
优雅,3
公务员,3
取景,3
清新,3
母校,3
又,3
漂流瓶,3
流瓶),3
(漂,3
 2015,3
表情,3
拒绝,3
传统,3
飘逸,3
憨笑][,2
一辈子,2
想法,2
具,2
极,2
地,2
在意,2
这个,2
维护,2
34,2
天,2
另,2
运行,2
3,2
拖尾,2
半,2
元,2
二,2
温馨,2
愿意,2
回到,2
人文,2
美女,2
如,2
较,2
裙,2
如果,2
另类,2
超级,2
甜蜜,2
做作,2
马尔代夫,2
纪实,2
氛围,2
旗袍,2
中山装,2
气质,2
拥有,2
完成,2
yjl,2
用,2
11:,2
礼服,2
愉快,2
样子,2
发起,2
点点滴滴,2
妹妹,2
幼师,2
黑白,2
无论,2
小镇,2
来说,2
必不可少,2
向往,2
格式,2
飞奔,2
必须,2
驰骋,2
回复,2
邮件,2
当然,2
a3,2
1c,2
52,2
c8,2
？,2
马尔,2
李,2
杨,2
基乐,2
骑行,2
合理,2
@彭,2
新印,2
精彩,2
价钱,2
古巷,2
相识,2
便宜,2
回溯,2
高大,2
时空,2
深度,2
赤脚,2
之间,2
方便,2
怎么,2
19,2
行走,2
精致,2
元素,2
回忆,2
青春,2
听,2
少,2
教师,2
穿点,2
 性,2
扮演,2
鉴证,2
5万,2
流水,2
小桥,2
朋友,2
类,2
给,2
夕阳,2
现在,2
甜美,2
其实,2
一望无际,2
个性,2
梦幻,2
精灵,2
笑,2
服务,2
@翟,2
柯,2
点击,2
下面,2
链接,2
加入,2
会议,2
ht,2
tp,2
s:,2
不同,2
//,2
to,2
r.,2
im,2
/z,2
oo,2
m/,2
多年,2
因为,2
于,2
已经,2
瀑布,2
多少,2
安排,2
钱,2
自由,2
运营,2
留下,2
什么的,2
风,2
记忆,2
照没,2
山顶,2
宫廷,2
亲近,2
古装,2
你们,2
热气球,2
28,2
文艺范,2
水下,2
每,2
